RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
1,17,9060,60,58,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
2,18,9449,62,61,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
3,20,9820,64,60,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
4,23,10208,65,61,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
5,25,10569,67,61,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
6,26,10909,65,60,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
7,29,11274,64,58,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
8,31,11677,62,57,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
9,33,12077,60,64,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
10,35,12433,62,76,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
11,37,12784,64,63,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
12,39,13162,65,64,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
13,41,13551,67,63,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
14,43,13994,65,60,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
15,45,14388,64,58,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
16,47,14827,62,57,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
17,49,15276,60,56,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
18,51,15654,62,60,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
19,52,16028,64,56,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
20,55,16421,65,63,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
21,56,16817,67,65,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
22,58,17202,65,63,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
23,61,17596,64,61,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
24,63,17975,62,61,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
25,65,18444,60,61,1,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
