NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error,RowNr
41,17160,60,57,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,1
43,17355,62,69,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,2
44,17545,64,62,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,3
46,17713,65,54,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,4
49,17877,67,68,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,5
50,18051,65,68,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,6
52,18281,64,62,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,7
54,18490,62,65,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,8
56,18635,60,66,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,9
59,18835,62,57,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,10
61,19068,64,61,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,11
63,19264,65,67,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,12
65,19471,67,73,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,13
67,19684,65,67,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,14
69,19896,64,49,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,15
71,20066,62,44,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,16
73,20271,60,48,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,17
75,20523,62,60,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,18
77,20638,64,57,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,19
78,20818,65,55,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,20
81,21015,67,67,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,21
82,21189,65,64,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,22
84,21366,64,57,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,23
86,21540,62,68,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,24
89,21711,60,62,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,25
91,21872,62,63,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,26
93,22027,64,57,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,27
95,22234,65,64,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,28
97,22421,67,54,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,29
99,22623,65,62,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,30
101,22793,64,55,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,31
103,22981,62,61,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,32
105,23237,60,59,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,33
107,25338,67,66,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,34
109,25550,65,73,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,35
111,25726,64,71,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,36
113,25940,62,58,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,37
115,26101,60,61,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,38
117,26299,62,60,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,39
119,26485,64,48,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,40
121,26683,65,65,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,41
123,26893,67,71,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,42
124,27063,65,56,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,43
126,27184,64,60,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,44
128,27383,62,62,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,45
130,27588,60,63,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,46
132,27793,62,60,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,47
134,27975,64,58,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,48
136,28162,65,59,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,49
138,28349,67,63,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,50
141,28573,65,68,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,51
143,28731,64,50,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,52
145,28908,62,49,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,53
147,29123,60,57,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,54
149,29303,62,55,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,55
151,29435,64,65,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,56
153,29655,65,55,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,57
155,29867,67,78,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,58
157,30031,65,65,1,2,2,1,1,articulation,performing,1_p_stim_a.png,1,59
