SubNr,BlockNr,TrialNr,Reason,CorrectionNr,Duplicate
2,1,1,Extra Notes,0,FALSE
2,1,3,Extra Notes,1,FALSE
3,3,7,Extra Notes,0,FALSE
3,1,1,Missing Notes,Exclude,FALSE
3,2,7,Missing Notes,Exclude,FALSE
3,2,8,Missing Notes,Exclude,FALSE
4,4,4,Missing Notes,1,FALSE
31,2,4,Missing Notes,Exclude,FALSE
31,4,5,Missing Notes,Exclude,FALSE
14,1,1,Substituted Notes - RowNr 1,Exclude,FALSE
14,1,2,Substituted Notes - RowNr 1,Exclude,FALSE
14,1,3,Substituted Notes - RowNr 1,Exclude,FALSE
14,1,4,Substituted Notes - RowNr 1,Exclude,FALSE
14,1,5,Substituted Notes - RowNr 1,Exclude,FALSE
14,1,6,Substituted Notes - RowNr 1,Exclude,FALSE
14,1,7,Substituted Notes - RowNr 1,Exclude,FALSE
14,1,8,Substituted Notes - RowNr 1,Exclude,FALSE
1,1,3,Extra Notes,1,FALSE
1,2,6,Extra Notes,1,FALSE
1,2,8,Extra Notes,1,FALSE
1,3,6,Extra Notes,1,FALSE
1,3,8,Extra Notes,1,FALSE
2,2,3,Extra Notes,3,FALSE
2,2,7,Extra Notes,1,FALSE
2,3,1,Extra Notes,1,FALSE
2,3,3,Extra Notes,1,FALSE
2,3,6,Extra Notes,1,FALSE
3,2,1,Extra Notes,1,FALSE
3,2,5,Extra Notes,2,FALSE
3,3,2,Extra Notes,1,FALSE
3,4,1,Extra Notes,1,FALSE
3,4,2,Extra Notes,1,FALSE
3,4,4,Extra Notes,1,FALSE
3,4,6,Extra Notes,1,FALSE
3,4,7,Extra Notes,1,FALSE
5,1,2,Extra Notes,2,FALSE
5,2,3,Extra Notes,2,FALSE
5,2,4,Extra Notes,2,FALSE
5,2,6,Extra Notes,2,FALSE
5,2,7,Extra Notes,1,FALSE
5,2,8,Extra Notes,1,FALSE
5,4,2,Extra Notes,1,FALSE
5,4,5,Extra Notes,1,FALSE
5,4,8,Extra Notes,1,FALSE
11,2,7,Extra Notes,1,FALSE
11,3,4,Extra Notes,1,FALSE
11,4,5,Extra Notes,1,FALSE
11,4,8,Extra Notes,1,FALSE
13,3,3,Extra Notes,1,FALSE
15,1,1,Extra Notes,1,FALSE
15,1,8,Extra Notes,1,FALSE
15,3,3,Extra Notes,1,FALSE
15,3,6,Extra Notes,1,FALSE
15,4,3,Extra Notes,2,FALSE
20,4,5,Extra Notes,1,FALSE
20,4,7,Extra Notes,1,FALSE
20,4,8,Extra Notes,1,FALSE
21,4,6,Extra Notes,1,FALSE
21,4,7,Extra Notes,1,FALSE
22,1,5,Extra Notes,3,FALSE
22,2,4,Extra Notes,1,FALSE
22,3,1,Extra Notes,1,FALSE
22,3,7,Extra Notes,1,FALSE
24,1,2,Extra Notes,3,FALSE
27,1,2,Extra Notes,1,FALSE
27,1,6,Extra Notes,1,FALSE
27,3,6,Extra Notes,1,FALSE
28,1,5,Extra Notes,1,FALSE
28,1,6,Extra Notes,1,FALSE
28,2,4,Extra Notes,1,FALSE
28,4,3,Extra Notes,1,FALSE
31,1,6,Extra Notes,1,FALSE
31,2,3,Extra Notes,1,FALSE
33,1,7,Extra Notes,1,FALSE
34,3,7,Extra Notes,1,FALSE
35,3,1,Extra Notes,1,FALSE
1,3,1,Missing Notes,1,FALSE
1,3,5,Missing Notes,1,FALSE
5,4,3,Missing Notes,1,FALSE
6,3,1,Missing Notes,1,FALSE
6,3,4,Missing Notes,1,FALSE
7,1,1,Missing Notes,1,FALSE
7,1,3,Missing Notes,1,FALSE
7,1,6,Missing Notes,1,FALSE
7,2,3,Missing Notes,1,FALSE
7,2,4,Missing Notes,2,FALSE
7,3,2,Missing Notes,1,FALSE
7,4,3,Missing Notes,2,FALSE
7,4,4,Missing Notes,1,FALSE
7,4,8,Missing Notes,1,FALSE
11,1,1,Missing Notes,1,FALSE
11,1,2,Missing Notes,1,FALSE
11,3,2,Missing Notes,1,FALSE
11,3,3,Missing Notes,1,FALSE
11,3,7,Missing Notes,1,FALSE
11,3,8,Missing Notes,1,FALSE
13,2,2,Missing Notes,1,FALSE
16,2,4,Missing Notes,1,FALSE
18,1,1,Missing Notes,2,FALSE
18,1,8,Missing Notes,1,FALSE
18,3,1,Missing Notes,1,FALSE
19,2,6,Missing Notes,1,FALSE
19,4,3,Missing Notes,1,FALSE
19,4,4,Missing Notes,1,FALSE
21,1,2,Missing Notes,1,FALSE
23,2,8,Missing Notes,1,FALSE
23,3,5,Missing Notes,1,FALSE
24,1,4,Missing Notes,1,FALSE
24,1,6,Missing Notes,1,FALSE
24,3,2,Missing Notes,1,FALSE
24,3,3,Missing Notes,1,FALSE
24,3,6,Missing Notes,1,FALSE
24,3,7,Missing Notes,2,FALSE
29,2,6,Missing Notes,1,FALSE
29,4,1,Missing Notes,1,FALSE
29,4,7,Missing Notes,1,FALSE
32,2,3,Missing Notes,1,FALSE
33,1,1,Missing Notes,1,FALSE
33,1,3,Missing Notes,1,FALSE
34,3,5,Missing Notes,1,FALSE
35,2,5,Missing Notes,1,FALSE
35,2,8,Missing Notes,1,FALSE
35,4,4,Missing Notes,1,FALSE
36,1,1,Missing Notes,2,FALSE
36,3,4,Missing Notes,1,FALSE
3,4,3,Substituted Notes - RowNr 30,1,FALSE
28,1,1,Substituted Notes - RowNr 41,1,FALSE
34,1,8,Substituted Notes - RowNr 41,1,FALSE
