NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error,RowNr
17,9355,60,58,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,1
18,9543,62,62,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,2
20,9729,64,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,3
22,9893,65,65,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,4
24,10093,67,76,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,5
26,10262,65,54,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,6
28,10480,64,65,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,7
30,10652,62,62,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,8
32,10804,60,68,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,9
35,11008,62,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,10
37,11156,64,71,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,11
39,11385,65,68,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,12
41,11598,67,78,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,13
43,11786,65,72,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,14
45,11982,64,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,15
47,12151,62,63,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,16
49,12361,60,69,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,17
51,12540,62,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,18
52,12724,64,60,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,19
54,12880,65,62,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,20
56,13071,67,67,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,21
56,,65,,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,22
58,13372,64,62,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,23
60,13561,62,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,24
63,13783,60,72,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,25
65,14003,62,62,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,26
67,14142,64,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,27
69,14315,65,65,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,28
71,14499,67,79,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,29
73,14690,65,63,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,30
75,14847,64,65,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,31
77,15003,62,66,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,32
79,15243,60,65,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,33
81,17273,67,67,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,34
83,17478,65,71,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,35
85,17640,64,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,36
87,17819,62,69,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,37
89,18004,60,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,38
91,18208,62,55,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,39
93,18347,64,61,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,40
95,18507,65,67,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,41
97,18704,67,60,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,42
99,18857,65,63,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,43
100,19029,64,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,44
102,19183,62,66,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,45
104,19384,60,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,46
106,19585,62,69,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,47
108,19723,64,61,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,48
110,19893,65,67,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,49
113,20076,67,41,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,50
115,20385,65,49,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,51
117,20520,64,56,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,52
119,20679,62,62,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,53
121,20884,60,60,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,54
123,21073,62,57,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,55
125,21221,64,59,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,56
126,21394,65,64,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,57
129,21622,67,66,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,58
130,21929,65,65,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,59
132,22136,64,62,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,60
134,22280,62,54,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,61
137,22470,60,58,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,62
139,22679,62,60,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,63
140,22828,64,43,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,64
142,22990,65,57,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,65
145,23268,67,74,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,66
147,24639,60,66,1,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,67
