RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
1,19,9528,60,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
2,21,9942,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
3,22,10273,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
4,24,10624,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
5,27,10970,67,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
6,29,11351,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
7,30,11695,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
8,32,12056,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
9,34,12174,60,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
10,36,12567,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
11,38,12933,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
12,40,13331,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
13,42,13696,67,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
14,44,14071,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
15,46,14464,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
16,48,14861,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
17,51,15664,60,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
18,53,16070,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
19,54,16375,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
20,56,16736,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
21,59,17146,67,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
22,60,17517,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
23,62,17917,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
24,64,18309,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
25,66,18392,60,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
26,68,18751,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
27,70,19122,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
28,72,19459,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
29,74,19836,67,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
30,76,20196,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
31,78,20595,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
32,80,21016,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
33,82,27226,60,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
34,84,27881,67,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
35,86,28028,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
36,88,28372,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
37,90,28718,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
38,92,29115,60,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
39,94,29452,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
40,96,29837,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
41,98,30223,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
42,100,30887,67,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
43,102,31218,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
44,104,31652,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
45,107,32043,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
46,108,32413,60,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
47,111,32825,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
48,112,33145,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
49,114,33479,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
50,116,33563,67,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
51,118,33956,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
52,120,34300,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
53,122,34728,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
54,124,35157,60,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
55,126,35549,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
56,128,36258,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
57,130,36704,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
58,132,37353,67,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
59,134,37744,65,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
60,136,38154,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
61,139,38547,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
62,141,38934,60,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
63,143,39344,62,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
64,144,39654,64,64,0,2,1,1,2,articulation,teaching,2_t_stim_a.png,1
