NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error,RowNr
19,9573,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,1
21,9870,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,2
23,10021,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,3
25,10148,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,4
27,10328,67,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,5
29,10554,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,6
31,10768,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,7
33,10822,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,8
34,10914,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,9
36,11126,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,10
38,11329,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,11
40,11508,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,12
42,11750,67,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,13
44,11979,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,14
46,12112,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,15
48,12264,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,16
50,12529,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,17
53,12794,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,18
55,13018,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,19
55,,65,,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,20
57,13279,67,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,21
59,13438,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,22
61,13611,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,23
62,13763,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,24
64,13910,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,25
66,14088,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,26
68,14269,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,27
70,14424,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,28
72,14629,67,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,29
74,14821,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,30
76,14998,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,31
78,15117,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,32
80,16961,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,33
82,17395,67,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,34
84,17604,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,35
86,17784,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,36
88,17889,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,37
90,18123,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,38
92,18326,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,39
94,18505,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,40
96,18605,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,41
98,18854,67,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,42
101,19058,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,43
103,19233,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,44
105,19406,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,45
107,19589,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,46
109,19759,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,47
111,19945,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,48
112,20046,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,49
114,20234,67,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,50
116,20497,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,51
118,20661,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,52
120,20781,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,53
122,21008,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,54
124,21218,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,55
127,21407,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,56
128,21543,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,57
131,21971,67,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,58
133,22158,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,59
135,22294,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,60
136,22442,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,61
138,22671,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,62
141,22862,62,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,63
143,23052,64,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,64
144,23177,65,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,65
146,24585,67,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,66
148,26978,60,64,0,2,2,1,3,dynamics,performing,3_p_stim_a.png,1,67
19,9253,60,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,1
21,9437,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,2
23,9601,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,3
24,9605,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,4
27,9955,67,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,5
29,10118,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,6
30,10248,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,7
32,10296,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,8
35,10613,60,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,9
37,10806,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,10
39,10944,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,11
40,11038,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,12
43,11290,67,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,13
45,11518,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,14
47,11644,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,15
48,11692,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,16
51,12019,60,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,17
53,12221,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,18
55,12374,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,19
56,12414,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,20
59,12740,67,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,21
61,12911,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,22
63,13036,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,23
64,13096,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,24
67,13400,60,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,25
69,13592,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,26
71,13771,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,27
72,13804,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,28
75,14120,67,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,29
77,14279,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,30
78,14390,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,31
80,14474,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,32
82,17146,60,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,33
85,17806,67,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,34
86,17955,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,35
88,18135,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,36
90,18263,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,37
93,18514,60,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,38
95,18717,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,39
97,NA,64,NA,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,40
98,NA,65,NA,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,41
101,19230,67,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,42
103,19398,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,43
105,19558,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,44
106,19608,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,45
109,19922,60,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,46
111,20072,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,47
113,20278,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,48
114,20306,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,49
117,20678,67,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,50
119,20810,65,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,51
120,20959,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,52
122,21042,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,53
124,21279,60,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,54
127,21508,62,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,55
129,21674,64,64,0,2,11,4,8,dynamics,performing,8_p_stim_d.png,1,56
