RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
1,19,7325,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
2,21,7577,78,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
3,23,7804,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
4,25,8055,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
5,26,8097,72,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
6,28,8335,67,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
7,30,8546,67,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
8,32,8814,67,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
9,35,9295,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
10,37,9550,78,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
11,39,9806,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
12,41,9929,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
13,43,10264,72,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
14,45,10506,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
15,47,10681,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
16,49,11024,84,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
17,51,11171,83,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
18,52,11178,81,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
19,54,11436,81,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
20,56,11689,81,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
21,59,12201,83,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
22,61,12391,81,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
23,64,12813,84,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
24,65,12842,81,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
25,67,13149,78,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
26,68,13226,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
27,70,13686,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
28,72,14622,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
29,74,14991,77,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
30,76,15198,77,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
31,78,15432,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
32,80,15684,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
33,82,16591,74,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
34,85,17531,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
35,86,17857,77,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
36,88,17974,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
37,90,18199,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
38,92,18431,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
39,94,18684,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
40,98,19362,81,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
41,99,19416,77,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
42,101,19644,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
43,103,19882,74,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
44,105,20148,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
45,107,20511,79,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
46,109,20599,74,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
47,111,20832,71,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
48,112,20882,72,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
49,114,21125,72,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
50,116,21358,74,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
51,118,21623,74,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
52,120,22559,76,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
53,122,23019,65,64,0,2,120,1,1,1,articulation,teaching,1_t_stim_a.png,0
