"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","SubNr","BlockNr","TrialNr","Skill","Condition","Image","Order"
1,1,3000,34,90,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
2,2,3100,34,0,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
3,3,3750,31,90,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
4,4,3850,31,0,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
5,5,4500,31,90,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
6,6,4600,31,0,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
7,7,5250,31,90,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
8,8,5350,31,0,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
9,9,6000,34,90,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
10,10,6100,34,0,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
11,11,6750,31,90,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
12,12,6850,31,0,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
13,13,7500,31,90,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
14,14,7600,31,0,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
15,15,8250,31,90,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
16,16,8350,31,0,10,0,1,1,1,"articulation","teaching","1_t_stim_a.png","teaching-first"
151,1,3000,34,90,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
152,2,3100,34,0,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
153,3,3750,31,90,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
154,4,3850,31,0,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
155,5,4500,31,90,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
156,6,4600,31,0,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
157,7,5250,31,90,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
158,8,5350,31,0,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
159,9,6000,34,90,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
160,10,6100,34,0,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
161,11,6750,31,90,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
162,12,6850,31,0,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
163,13,7500,31,90,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
164,14,7600,31,0,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
165,15,8250,31,90,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
166,16,8350,31,0,10,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first"
300,1,3000,34,90,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
301,2,3100,34,0,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
302,3,3750,31,90,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
303,4,3850,31,0,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
304,5,4500,31,90,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
305,6,4600,31,0,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
306,7,5250,31,90,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
307,8,5350,31,0,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
308,9,6000,34,90,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
309,10,6100,34,0,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
310,11,6750,31,90,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
311,12,6850,31,0,10,2,1,1,3,"articulation","teaching","3_t_stim_a.png","teaching-first"
