"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","SubNr","BlockNr","TrialNr","Skill","Condition","Image","Order","Error"
167,17,9079,60,45,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
168,18,9472,62,62,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
169,19,9528,60,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
170,20,9881,64,65,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
171,21,9942,62,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
172,22,10273,64,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
173,23,10277,65,62,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
174,24,10624,65,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
175,25,10627,67,65,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
176,26,10958,65,66,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
177,27,10970,67,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
178,28,11345,64,59,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
179,29,11351,65,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
180,30,11695,64,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
181,31,11717,62,60,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
182,32,12056,62,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
183,33,12081,60,62,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
184,34,12174,60,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
185,35,12483,62,70,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
186,36,12567,62,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
187,37,12875,64,42,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
188,38,12933,64,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
189,39,13262,65,41,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
190,40,13331,65,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
191,41,13645,67,59,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
192,42,13696,67,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
193,43,14018,65,71,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
194,44,14071,65,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
195,45,14404,64,64,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
196,46,14464,64,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
197,47,14806,62,62,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
198,48,14861,62,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
199,49,15269,60,53,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
200,50,15660,62,57,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
201,51,15664,60,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
202,52,16036,64,58,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
203,53,16070,62,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
204,54,16375,64,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
205,55,16388,65,57,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
206,56,16736,65,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
207,57,16750,67,63,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
208,58,17112,65,61,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
209,59,17146,67,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
210,60,17517,65,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
211,61,17520,64,58,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
212,62,17917,64,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
213,63,17939,62,53,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
214,64,18309,62,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
215,65,18313,60,60,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
216,66,18392,60,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
217,67,18693,62,59,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
218,68,18751,62,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
219,69,19046,64,52,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
220,70,19122,64,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
221,71,19397,65,57,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
222,72,19459,65,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
223,73,19777,67,65,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
224,74,19836,67,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
225,75,20132,65,55,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
226,76,20196,65,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
227,77,20523,64,36,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
228,78,20595,64,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
229,79,20943,62,28,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
230,80,21016,62,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
231,81,21369,60,54,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
232,82,27226,60,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
233,83,27565,67,63,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
234,84,27881,67,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
235,85,27926,65,65,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
236,86,28028,65,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
237,87,28284,64,60,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
238,88,28372,64,64,0,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
239,89,28656,62,56,1,2,1,1,2,"articulation","teaching","2_t_stim_a.png","teaching-first",1
