RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image
17,17,7033,79,75,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
18,18,7268,78,80,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
20,20,7523,79,86,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
22,22,7753,76,84,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
24,24,8002,72,86,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
27,27,8248,67,82,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
29,29,8487,67,72,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
31,31,8726,67,72,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
33,33,8972,79,73,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
34,34,9215,78,76,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
36,36,9454,79,81,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
38,38,9692,76,75,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
40,40,9928,72,74,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
42,42,10171,76,68,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
44,44,10416,79,75,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
46,46,10655,84,81,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
48,48,10887,83,83,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
50,50,11140,81,71,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
53,53,11390,81,60,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
55,55,11616,81,73,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
57,57,11857,83,71,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
58,58,12102,81,74,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
60,60,12341,84,85,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
62,62,12575,81,78,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
63,63,12809,78,66,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
66,66,13062,79,65,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
69,69,13321,79,65,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
71,71,13815,79,53,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
73,73,14856,77,81,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
75,75,15087,77,81,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
77,77,15332,76,85,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
79,79,15572,76,93,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
81,81,15854,74,77,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
83,83,16869,79,62,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
84,84,17354,77,71,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
87,87,17865,76,61,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
89,89,18106,76,63,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
91,91,18357,76,70,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
93,93,18590,76,76,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
95,95,18853,81,66,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
96,96,19094,77,57,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
97,97,19342,76,60,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
100,100,19582,74,74,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
102,102,19826,76,70,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
104,104,20062,79,85,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
106,106,20305,74,76,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
108,108,20546,71,83,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
110,110,20782,72,91,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
113,113,21028,72,94,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
115,115,21273,74,91,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
117,117,21519,74,94,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
119,119,21798,76,83,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
121,121,22913,65,83,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
123,123,23154,65,99,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
125,125,23400,64,96,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
127,127,23643,64,92,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
129,129,23925,62,78,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
131,131,24847,67,61,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
133,133,25089,67,59,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
135,135,25325,71,70,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
137,137,25564,71,80,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
139,139,25807,72,93,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
141,141,26036,72,93,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
143,143,26282,73,100,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
145,145,26528,73,101,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
147,147,26791,74,87,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
148,148,27301,77,78,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
150,150,27759,76,75,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
152,152,28237,74,75,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
154,154,28718,72,76,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
157,157,29218,84,72,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
159,159,29740,84,67,1,2,120,1,1,1,articulation,teaching,1_t_stim_a.png
177,17,7036,79,78,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
178,18,7274,78,79,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
180,20,7533,79,83,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
182,22,7782,76,79,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
184,24,8040,72,88,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
187,27,8297,67,79,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
189,29,8538,67,86,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
191,31,8780,67,95,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
193,33,9035,79,75,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
194,34,9269,78,70,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
196,36,9511,79,75,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
198,38,9754,76,78,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
200,40,10007,72,76,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
202,42,10248,76,84,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
204,44,10500,79,88,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
206,46,10750,84,90,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
208,48,10993,83,87,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
210,50,11245,81,85,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
213,53,11500,81,81,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
215,55,11732,81,85,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
217,57,11980,83,81,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
218,58,12219,81,87,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
220,60,12478,84,76,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
222,62,12716,81,82,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
224,64,12969,78,77,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
226,66,13214,79,70,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
229,69,13498,79,67,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
231,71,13994,79,55,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
233,73,15021,77,95,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
235,75,15279,77,94,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
237,77,15514,76,81,1,2,120,1,1,2,articulation,teaching,2_t_stim_a.png
