"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image"
"1","19","7334","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"2","21","7618","78","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"3","23","7856","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"4","25","8094","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"5","27","8298","72","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"6","28","8366","67","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"7","30","8612","67","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"8","32","8857","67","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"9","35","9342","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"10","37","9632","78","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"11","39","9901","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"12","41","10038","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"13","43","10383","72","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"14","45","10616","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"15","47","10830","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"16","49","11135","84","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"17","51","11309","83","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"18","52","11356","81","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"19","54","11562","81","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"20","56","11853","81","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"21","59","12321","83","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"22","61","12553","81","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"23","64","13011","84","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"24","65","13036","81","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"25","67","13321","78","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"26","68","13417","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"27","70","13921","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"28","72","14867","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"29","74","15203","77","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"30","76","15436","77","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"31","78","15698","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"32","80","15939","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"33","82","16904","74","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"34","85","17787","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"35","87","18160","77","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"36","88","18255","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"37","90","18515","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"38","92","18768","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"39","94","19021","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"40","98","NA","81","NA","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"41","99","NA","77","NA","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"42","101","19995","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"43","103","20218","74","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"44","105","20501","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"45","108","20937","79","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"46","109","20973","74","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"47","111","21195","71","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"48","112","21250","72","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"49","114","21503","72","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"50","116","21764","74","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"51","118","22031","74","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"52","120","22995","76","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"53","122","23451","65","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"54","124","23697","65","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"55","126","23950","64","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"56","128","24198","64","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
"57","130","25089","62","64","0","2","120","1","1","3","articulation","teaching","3_t_stim_a.png"
