"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image"
"1","17","7787","79","68","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"2","18","8079","78","71","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"3","21","8335","79","59","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"4","22","8609","76","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"5","24","8882","72","68","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"6","27","9149","67","62","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"7","29","9426","67","71","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"8","31","9687","67","71","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"9","33","9964","79","74","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"10","34","10248","78","68","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"11","36","10513","79","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"12","38","10799","76","67","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"13","41","11073","72","67","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"14","42","11338","76","70","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"15","44","11603","79","62","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"16","46","11869","84","70","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"17","48","12155","83","72","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"18","51","12422","81","66","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"19","53","12694","81","65","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"20","55","12960","81","66","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"21","57","13226","83","67","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"22","58","NA","81","NA","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"23","61","14133","84","56","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"24","62","14386","81","59","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"25","65","14681","78","65","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"26","67","14942","79","55","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"27","69","15212","79","57","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"28","71","15759","79","58","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"29","73","16857","77","65","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"30","75","17133","77","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"31","77","17395","76","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"32","79","17660","76","65","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"33","81","17953","74","66","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"34","83","19068","79","70","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"35","85","19627","77","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"36","87","20176","76","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"37","89","20464","76","62","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"38","91","20710","76","59","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"39","93","20981","76","60","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"40","95","21272","81","60","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"41","96","21553","77","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"42","98","21827","76","61","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"43","101","22095","74","66","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"44","102","22386","76","65","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"45","105","22650","79","64","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"46","106","22919","74","66","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"47","109","23183","71","70","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"48","111","23445","72","61","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"49","113","23702","72","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"50","115","23964","74","65","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"51","117","24233","74","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"52","119","24513","76","62","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"53","121","25609","65","66","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"54","123","25869","65","68","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"55","125","26144","64","64","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"56","127","26408","64","63","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"57","129","26699","62","65","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"58","131","27758","67","68","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"59","133","28021","67","65","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"60","135","28293","71","64","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"61","137","28567","71","62","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"62","139","28815","72","72","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"63","141","29087","72","72","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"64","143","29353","73","71","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"65","145","29615","73","67","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"66","147","29903","74","79","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"67","148","30470","77","70","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"68","151","31002","76","73","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"69","153","31546","74","76","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"70","155","32092","72","72","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"71","157","32643","84","70","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
"72","159","33197","84","72","1","2","100","10","3","6","articulation","teaching","6_t_stim_a.png"
