"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image"
1,18,8006,79,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
2,21,8238,78,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
3,23,8469,79,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
4,25,8721,76,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
5,26,8737,72,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
6,28,8924,67,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
7,30,9160,67,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
8,32,9375,67,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
10,37,9781,79,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
11,39,10003,78,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
12,41,10251,79,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
13,42,10422,76,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
14,45,10690,72,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
15,47,10897,76,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
16,48,11085,79,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
17,51,11319,84,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
18,52,11381,83,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
19,54,11547,81,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
20,56,11755,81,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
21,58,11972,81,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
22,61,12384,83,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
23,63,12589,81,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
24,65,12822,84,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
25,67,13011,81,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
26,69,13267,78,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
27,70,13283,79,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
28,72,13792,79,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
29,74,14413,79,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
30,76,14901,77,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
31,78,15105,77,64,0,2,120,2,1,6,"articulation","performing","6_p_stim_a.png"
