"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image"
"1","17","7035","79","97","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"2","18","7276","78","89","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"3","20","7520","79","90","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"4","22","7768","76","90","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"5","24","8018","72","78","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"6","26","8270","67","61","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"7","29","8508","67","65","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"8","31","8758","67","70","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"9","33","9006","79","95","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"10","34","9242","78","90","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"11","36","9484","79","91","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"12","38","9732","76","87","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"13","41","9969","72","98","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"14","42","10204","76","94","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"15","44","10444","79","100","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"16","46","10684","84","97","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"17","48","11003","83","63","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"18","50","11241","81","56","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"19","53","11491","81","48","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"20","55","11714","81","79","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"21","57","11957","83","89","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"22","58","12196","81","98","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"23","60","12437","84","95","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"24","62","12669","81","96","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"25","64","12924","78","86","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"27","68","13172","79","89","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"28","71","13434","79","71","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"29","73","13936","79","78","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"30","75","15080","77","54","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"31","77","15315","77","56","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"32","78","15560","76","55","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"33","81","15807","76","51","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"34","82","16075","74","52","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"35","85","17122","79","62","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
"36","86","17592","77","64","1","2","120","1","2","3","dynamics","teaching","3_t_stim_d.png"
