"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image"
"12857","55","17565","79","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12859","57","17832","78","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12861","59","18115","79","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12862","60","18331","76","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12864","62","18537","72","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12866","64","18658","67","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12868","66","18908","67","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12870","68","19184","67","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12873","71","19685","79","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12875","73","19957","78","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12877","75","20196","79","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12879","77","20476","76","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12881","79","20742","72","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12883","81","21051","76","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12885","83","21244","79","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12887","85","21537","84","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12888","86","21637","83","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12890","88","21832","81","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12892","90","22105","81","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12894","92","22392","81","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12897","95","22889","83","64","0","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
