"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image"
"12855","53","17280","79","67","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12856","54","17549","78","78","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12858","56","17827","79","70","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12860","58","18082","76","68","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12863","61","18339","72","73","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12865","63","18616","67","60","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12867","65","18870","67","65","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12869","67","19128","67","71","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12871","69","19397","79","76","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12872","70","19663","78","81","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12874","72","19927","79","79","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12876","74","20192","76","75","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12878","76","20455","72","76","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12880","78","20716","76","77","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12882","80","20983","79","72","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12884","82","21242","84","79","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12886","84","21527","83","70","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12889","87","21777","81","58","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12891","89","22048","81","50","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12893","91","22313","81","65","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12895","93","22577","83","79","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12896","94","22852","81","76","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12898","96","23099","84","81","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12900","98","23377","81","76","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12903","101","23636","78","70","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12904","102","23883","79","72","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12907","105","24194","79","68","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12909","107","24756","79","68","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12911","109","25840","77","49","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12913","111","26102","77","54","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12915","113","26363","76","54","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12917","115","26626","76","55","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12919","117","26906","74","53","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12921","119","28016","79","58","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12923","121","28564","77","58","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12925","123","29142","76","43","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12927","125","29396","76","52","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12929","127","29646","76","55","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12931","129","29930","76","55","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12933","131","30188","81","70","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12934","132","30471","77","69","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12936","134","30720","76","74","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12938","136","30990","74","77","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12940","138","31264","76","79","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12942","140","31526","79","78","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12944","142","31788","74","78","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12947","145","32060","71","63","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12949","147","32300","72","66","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12951","149","32582","72","54","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12953","151","32845","74","54","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12955","153","33117","74","60","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12957","155","33424","76","54","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12959","157","34516","65","52","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12961","159","34771","65","56","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12963","161","35051","64","52","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12965","163","35318","64","54","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12967","165","35616","62","48","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12969","167","36681","67","53","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12971","169","36945","67","57","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12973","171","37218","71","60","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12975","173","37481","71","63","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12977","175","37735","72","70","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12979","177","38000","72","67","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12981","179","38270","73","71","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12983","181","38536","73","67","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12985","183","38845","74","75","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12986","184","39418","77","78","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12988","186","39995","76","75","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12990","188","40562","74","71","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12993","191","41124","72","66","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12995","193","41702","84","71","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"12997","195","42267","84","69","1","2","110","4","3","1","dynamics","teaching","1_t_stim_d.png"
"1","17","7654","79","81","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"2","18","7888","78","87","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"3","20","8099","79","93","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"4","22","8320","76","80","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"5","24","8530","72","79","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"6","27","8748","67","68","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"7","29","8951","67","79","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"8","31","9169","67","86","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"9","33","9389","79","96","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"10","34","9598","78","90","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"11","36","9805","79","90","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"12","38","10013","76","85","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"13","41","10219","72","93","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"14","42","10432","76","99","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"15","44","10638","79","97","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"16","46","10852","84","91","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"17","48","11062","83","76","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"18","51","11279","81","82","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"19","53","11494","81","95","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"20","55","11704","81","90","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"21","57","11920","83","96","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"22","58","12131","81","97","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"23","60","12341","84","98","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"24","62","12559","81","86","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"25","64","12782","78","74","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"26","67","12992","79","86","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"27","69","13222","79","88","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"28","71","13688","79","68","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"29","73","14590","77","75","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"30","75","14802","77","70","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"31","77","15006","76","70","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"32","79","15209","76","69","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"33","81","15456","74","70","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"34","83","16327","79","69","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"35","87","16743","77","67","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"36","89","NA","76","NA","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"37","91","17150","76","90","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"38","93","17344","76","68","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"39","95","NA","76","NA","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"40","97","18378","81","66","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"41","98","18600","77","72","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"42","100","18817","76","82","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"43","103","19035","74","74","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"44","105","19225","76","78","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"45","107","19442","79","80","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"46","108","19660","74","75","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"47","111","19867","71","63","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"48","113","20064","72","63","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"49","115","20269","72","71","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"50","117","20468","74","75","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"51","119","20691","74","74","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"52","121","20930","76","63","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"53","123","21756","65","79","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"54","125","21964","65","81","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"55","127","22179","64","73","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"56","129","22394","64","76","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"57","131","22635","62","71","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"58","133","23496","67","69","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
"59","135","23717","67","72","1","2","120","2","3","6","articulation","teaching","6_t_stim_a.png"
