"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image"
1,1,3000,34,60,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
2,2,3100,34,0,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
3,3,3500,31,60,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
4,4,3600,31,0,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
5,5,4000,31,60,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
6,6,4100,31,0,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
7,7,4500,31,60,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
8,8,4600,31,0,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
9,9,5000,34,60,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
10,10,5100,34,0,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
11,11,5500,31,60,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
12,12,5600,31,0,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
13,13,6000,31,60,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
14,14,6100,31,0,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
15,15,6500,31,60,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
16,16,6600,31,0,0,0,120,1,1,1,"articulation","teaching","1_t_stim_a.png"
161,1,3000,34,60,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
162,2,3100,34,0,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
163,3,3500,31,60,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
164,4,3600,31,0,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
165,5,4000,31,60,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
166,6,4100,31,0,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
167,7,4500,31,60,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
168,8,4600,31,0,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
169,9,5000,34,60,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
170,10,5100,34,0,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
171,11,5500,31,60,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
172,12,5600,31,0,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
173,13,6000,31,60,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
174,14,6100,31,0,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
175,15,6500,31,60,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
176,16,6600,31,0,0,2,120,1,1,2,"articulation","teaching","2_t_stim_a.png"
321,1,3000,34,60,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
322,2,3100,34,0,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
323,3,3500,31,60,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
324,4,3600,31,0,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
325,5,4000,31,60,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
326,6,4100,31,0,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
327,7,4500,31,60,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
328,8,4600,31,0,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
329,9,5000,34,60,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
330,10,5100,34,0,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
331,11,5500,31,60,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
332,12,5600,31,0,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
333,13,6000,31,60,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
334,14,6100,31,0,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
335,15,6500,31,60,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
336,16,6600,31,0,0,2,120,1,1,3,"articulation","teaching","3_t_stim_a.png"
481,1,3000,34,60,0,2,120,1,1,4,"articulation","teaching","4_t_stim_a.png"
482,2,3100,34,0,0,2,120,1,1,4,"articulation","teaching","4_t_stim_a.png"
483,3,3500,31,60,0,2,120,1,1,4,"articulation","teaching","4_t_stim_a.png"
484,4,3600,31,0,0,2,120,1,1,4,"articulation","teaching","4_t_stim_a.png"
485,5,4000,31,60,0,2,120,1,1,4,"articulation","teaching","4_t_stim_a.png"
486,6,4100,31,0,0,2,120,1,1,4,"articulation","teaching","4_t_stim_a.png"
487,7,4500,31,60,0,2,120,1,1,4,"articulation","teaching","4_t_stim_a.png"
