"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image","Error"
17,17,7033,79,75,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
18,18,7268,78,80,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
20,20,7523,79,86,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
22,22,7753,76,84,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
24,24,8002,72,86,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
27,27,8248,67,82,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
29,29,8487,67,72,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
31,31,8726,67,72,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
33,33,8972,79,73,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
34,34,9215,78,76,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
36,36,9454,79,81,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
38,38,9692,76,75,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
40,40,9928,72,74,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
42,42,10171,76,68,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
44,44,10416,79,75,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
46,46,10655,84,81,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
48,48,10887,83,83,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
50,50,11140,81,71,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
53,53,11390,81,60,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
55,55,11616,81,73,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
57,57,11857,83,71,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
58,58,12102,81,74,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
60,60,12341,84,85,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
62,62,12575,81,78,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
63,63,12809,78,66,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
66,66,13062,79,65,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
69,69,13321,79,65,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
71,71,13815,79,53,1,2,120,1,1,1,"articulation","teaching","1_t_stim_a.png",0
