RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
1,19,9467,60,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
2,21,9878,62,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
3,22,10199,64,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
4,24,10566,65,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
5,27,10932,67,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
6,28,11261,65,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
7,30,11652,64,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
8,32,11980,62,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
9,34,12194,60,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
10,36,12527,62,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
11,38,12878,64,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
12,40,13262,65,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
13,42,13642,67,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
14,44,14049,65,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
15,46,14447,64,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
16,48,14881,62,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
17,50,15650,60,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
18,53,16082,62,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
19,54,16415,64,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
20,57,16847,65,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
21,59,17208,67,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
22,60,17583,65,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
23,62,17972,64,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
24,64,18442,62,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
25,66,18533,60,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
26,68,18931,62,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
28,72,19711,64,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
29,74,20043,65,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
30,76,20470,67,64,0,2,1,1,3,articulation,teaching,3_t_stim_a.png,1
