NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error,RowNr
42,17348,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,1
45,17596,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,2
47,17799,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,3
48,17871,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,4
51,18086,67,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,5
53,18334,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,6
55,18521,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,7
57,18640,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,8
58,18727,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,9
60,18939,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,10
62,19170,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,11
64,19359,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,12
66,19593,67,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,13
68,19793,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,14
70,19997,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,15
72,20173,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,16
74,20519,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,17
76,20635,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,18
79,20883,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,19
80,21003,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,20
83,21203,67,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,21
85,21384,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,22
87,21584,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,23
88,21698,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,24
90,21809,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,25
92,21934,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,26
94,22083,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,27
96,22361,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,28
98,22585,67,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,29
100,22759,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,30
102,22961,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,31
104,23162,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,32
106,25004,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,33
108,25440,67,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,34
110,25661,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,35
112,25832,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,36
114,25989,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,37
116,26225,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,38
118,26401,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,39
120,26619,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,40
122,26780,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,41
125,27083,67,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,42
127,27212,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,43
129,27427,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,44
131,27600,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,45
133,27827,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,46
135,28039,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,47
137,28233,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,48
139,28350,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,49
140,28447,67,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,50
142,28665,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,51
144,28809,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,52
146,29017,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,53
148,29221,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,54
150,29409,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,55
152,29555,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,56
154,29752,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,57
156,30025,67,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,58
158,30153,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,59
161,30383,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,60
163,30589,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,61
165,30783,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,62
167,31013,62,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,63
169,31220,64,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,64
171,31413,65,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,65
173,32500,67,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,66
174,34512,60,64,0,2,2,1,1,articulation,performing,1_p_stim_a.png,1,67
19,9573,60,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,1
21,9870,62,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,2
23,10021,64,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,3
25,10148,65,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,4
27,10328,67,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,5
29,10554,65,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,6
31,10768,64,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,7
33,10822,62,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,8
34,10914,60,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,9
36,11126,62,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,10
38,11329,64,64,0,2,2,1,3,articulation,performing,3_p_stim_a.png,1,11
