"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image","IOI","normIOI","Interval","Subcomponent","Grouping"
2,18,7245,78,80,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",217,0.868,1,"Legato","performing-articulation"
3,20,7485,79,91,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",240,0.96,2,"Legato","performing-articulation"
4,22,7710,76,87,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",225,0.9,3,"Legato","performing-articulation"
5,24,7941,72,93,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",231,0.924,4,"Legato","performing-articulation"
6,26,8174,67,82,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",233,0.932,5,"LtoS","performing-articulation"
7,29,8412,67,78,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",238,0.952,6,"Staccato","performing-articulation"
8,31,8641,67,78,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",229,0.916,7,"Staccato","performing-articulation"
9,33,8872,79,68,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",231,0.924,8,"StoL","performing-articulation"
10,34,9100,78,71,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",228,0.912,9,"Legato","performing-articulation"
11,36,9319,79,81,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",219,0.876,10,"Legato","performing-articulation"
12,38,9545,76,81,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",226,0.904,11,"Legato","performing-articulation"
13,40,9772,72,87,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",227,0.908,12,"Legato","performing-articulation"
14,42,9997,76,85,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",225,0.9,13,"Legato","performing-articulation"
15,44,10234,79,86,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",237,0.948,14,"Legato","performing-articulation"
16,46,10457,84,91,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",223,0.892,15,"Legato","performing-articulation"
17,48,10695,83,85,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",238,0.952,16,"Legato","performing-articulation"
18,50,10917,81,64,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",222,0.888,17,"LtoS","performing-articulation"
19,53,11155,81,65,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",238,0.952,18,"Staccato","performing-articulation"
20,55,11366,81,78,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",211,0.844,19,"Staccato","performing-articulation"
21,57,11588,83,80,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",222,0.888,20,"StoL","performing-articulation"
22,58,11812,81,83,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",224,0.896,21,"Legato","performing-articulation"
23,60,12031,84,79,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",219,0.876,22,"Legato","performing-articulation"
24,62,12243,81,70,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",212,0.848,23,"Legato","performing-articulation"
25,64,12477,78,75,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",234,0.936,24,"Legato","performing-articulation"
30,75,14685,77,81,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",229,0.916,29,"Staccato","performing-articulation"
31,77,14915,76,76,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",230,0.92,30,"Staccato","performing-articulation"
32,79,15134,76,86,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",219,0.876,31,"Staccato","performing-articulation"
37,89,17539,76,67,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",237,0.948,36,"Staccato","performing-articulation"
38,91,17765,76,72,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",226,0.904,37,"Staccato","performing-articulation"
39,93,17981,76,81,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",216,0.864,38,"Staccato","performing-articulation"
40,95,18222,81,81,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",241,0.964,39,"StoL","performing-articulation"
41,96,18453,77,81,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",231,0.924,40,"Legato","performing-articulation"
42,97,18671,76,85,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",218,0.872,41,"Legato","performing-articulation"
43,100,18912,74,88,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",241,0.964,42,"Legato","performing-articulation"
44,102,19140,76,90,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",228,0.912,43,"Legato","performing-articulation"
45,104,19376,79,91,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",236,0.944,44,"Legato","performing-articulation"
46,106,19598,74,85,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",222,0.888,45,"Legato","performing-articulation"
47,108,19830,71,82,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",232,0.928,46,"Legato","performing-articulation"
48,111,20059,72,63,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",229,0.916,47,"LtoS","performing-articulation"
49,113,20283,72,74,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",224,0.896,48,"Staccato","performing-articulation"
50,115,20505,74,77,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",222,0.888,49,"Staccato","performing-articulation"
51,117,20726,74,72,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",221,0.884,50,"Staccato","performing-articulation"
54,123,22257,65,100,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",238,0.952,53,"Staccato","performing-articulation"
55,125,22487,64,91,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",230,0.92,54,"Staccato","performing-articulation"
56,127,22723,64,93,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",236,0.944,55,"Staccato","performing-articulation"
59,133,24185,67,73,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",229,0.916,58,"Staccato","performing-articulation"
60,135,24417,71,80,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",232,0.928,59,"Staccato","performing-articulation"
61,137,24636,71,82,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",219,0.876,60,"Staccato","performing-articulation"
62,139,24866,72,93,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",230,0.92,61,"Staccato","performing-articulation"
63,141,25096,72,94,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",230,0.92,62,"Staccato","performing-articulation"
64,143,25334,73,101,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",238,0.952,63,"Staccato","performing-articulation"
65,145,25573,73,94,1,2,250,1,3,1,"articulation","performing","1_p_stim_a.png",239,0.956,64,"Staccato","performing-articulation"
2,18,7290,78,67,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",231,0.924,1,"Legato","performing-articulation"
3,20,7539,79,79,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",249,0.996,2,"Legato","performing-articulation"
4,22,7774,76,75,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",235,0.94,3,"Legato","performing-articulation"
5,23,8005,72,88,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",231,0.924,4,"Legato","performing-articulation"
6,26,8258,67,74,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",253,1.012,5,"LtoS","performing-articulation"
7,29,8483,67,75,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",225,0.9,6,"Staccato","performing-articulation"
8,31,8716,67,67,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",233,0.932,7,"Staccato","performing-articulation"
9,33,8961,79,58,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",245,0.98,8,"StoL","performing-articulation"
10,34,9182,78,72,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",221,0.884,9,"Legato","performing-articulation"
11,36,9410,79,74,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",228,0.912,10,"Legato","performing-articulation"
12,38,9649,76,81,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",239,0.956,11,"Legato","performing-articulation"
13,40,9882,72,79,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",233,0.932,12,"Legato","performing-articulation"
14,42,10122,76,65,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",240,0.96,13,"Legato","performing-articulation"
15,44,10369,79,77,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",247,0.988,14,"Legato","performing-articulation"
16,46,10596,84,86,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",227,0.908,15,"Legato","performing-articulation"
17,48,10820,83,91,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",224,0.896,16,"Legato","performing-articulation"
18,50,11065,81,76,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",245,0.98,17,"LtoS","performing-articulation"
19,53,11301,81,67,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",236,0.944,18,"Staccato","performing-articulation"
20,55,11520,81,75,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",219,0.876,19,"Staccato","performing-articulation"
21,57,11756,83,71,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",236,0.944,20,"StoL","performing-articulation"
22,58,11997,81,70,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",241,0.964,21,"Legato","performing-articulation"
23,60,12212,84,78,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",215,0.86,22,"Legato","performing-articulation"
24,62,12446,81,81,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",234,0.936,23,"Legato","performing-articulation"
25,64,12684,78,74,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",238,0.952,24,"Legato","performing-articulation"
30,75,15014,77,76,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",221,0.884,29,"Staccato","performing-articulation"
31,77,15260,76,81,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",246,0.984,30,"Staccato","performing-articulation"
32,79,15492,76,84,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",232,0.928,31,"Staccato","performing-articulation"
37,89,18024,76,62,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",227,0.908,36,"Staccato","performing-articulation"
38,91,18254,76,63,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",230,0.92,37,"Staccato","performing-articulation"
39,93,18484,76,70,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",230,0.92,38,"Staccato","performing-articulation"
40,95,18743,81,70,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",259,1.036,39,"StoL","performing-articulation"
41,96,18975,77,77,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",232,0.928,40,"Legato","performing-articulation"
42,97,19211,76,77,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",236,0.944,41,"Legato","performing-articulation"
43,100,19451,74,89,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",240,0.96,42,"Legato","performing-articulation"
44,102,19693,76,80,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",242,0.968,43,"Legato","performing-articulation"
45,104,19940,79,79,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",247,0.988,44,"Legato","performing-articulation"
46,106,20169,74,81,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",229,0.916,45,"Legato","performing-articulation"
47,108,20406,71,90,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",237,0.948,46,"Legato","performing-articulation"
48,110,20631,72,83,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",225,0.9,47,"LtoS","performing-articulation"
49,113,20864,72,91,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",233,0.932,48,"Staccato","performing-articulation"
50,115,21105,74,88,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",241,0.964,49,"Staccato","performing-articulation"
51,117,21347,74,97,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",242,0.968,50,"Staccato","performing-articulation"
54,123,22968,65,103,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",242,0.968,53,"Staccato","performing-articulation"
55,125,23209,64,87,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",241,0.964,54,"Staccato","performing-articulation"
56,127,23435,64,93,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",226,0.904,55,"Staccato","performing-articulation"
59,133,24914,67,71,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",231,0.924,58,"Staccato","performing-articulation"
60,135,25139,71,75,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",225,0.9,59,"Staccato","performing-articulation"
61,137,25375,71,91,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",236,0.944,60,"Staccato","performing-articulation"
62,139,25601,72,96,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",226,0.904,61,"Staccato","performing-articulation"
63,141,25838,72,99,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",237,0.948,62,"Staccato","performing-articulation"
64,143,26067,73,101,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",229,0.916,63,"Staccato","performing-articulation"
65,145,26304,73,103,1,2,250,1,3,2,"articulation","performing","2_p_stim_a.png",237,0.948,64,"Staccato","performing-articulation"
