"RowNr","NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image","Diff","Interval","Subcomponent","Grouping"
2,2,7268,78,80,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",5,1,"Legato","teaching-articulation"
3,3,7523,79,86,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",6,2,"Legato","teaching-articulation"
4,4,7753,76,84,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",-2,3,"Legato","teaching-articulation"
5,5,8002,72,86,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",2,4,"Legato","teaching-articulation"
10,10,9215,78,76,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",3,9,"Legato","teaching-articulation"
11,11,9454,79,81,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",5,10,"Legato","teaching-articulation"
12,12,9692,76,75,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",-6,11,"Legato","teaching-articulation"
13,13,9928,72,74,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",-1,12,"Legato","teaching-articulation"
14,14,10171,76,68,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",-6,13,"Legato","teaching-articulation"
15,15,10416,79,75,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",7,14,"Legato","teaching-articulation"
16,16,10655,84,81,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",6,15,"Legato","teaching-articulation"
17,17,10887,83,83,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",2,16,"Legato","teaching-articulation"
22,22,12102,81,74,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",3,21,"Legato","teaching-articulation"
23,23,12341,84,85,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",11,22,"Legato","teaching-articulation"
24,24,12575,81,78,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",-7,23,"Legato","teaching-articulation"
25,25,12809,78,66,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",-12,24,"Legato","teaching-articulation"
41,41,19094,77,57,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",-9,40,"Legato","teaching-articulation"
42,42,19342,76,60,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",3,41,"Legato","teaching-articulation"
43,43,19582,74,74,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",14,42,"Legato","teaching-articulation"
44,44,19826,76,70,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",-4,43,"Legato","teaching-articulation"
45,45,20062,79,85,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",15,44,"Legato","teaching-articulation"
46,46,20305,74,76,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",-9,45,"Legato","teaching-articulation"
47,47,20546,71,83,1,2,250,1,1,1,"articulation","teaching","1_t_stim_a.png",7,46,"Legato","teaching-articulation"
2,2,7274,78,79,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",1,1,"Legato","teaching-articulation"
3,3,7533,79,83,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",4,2,"Legato","teaching-articulation"
4,4,7782,76,79,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",-4,3,"Legato","teaching-articulation"
5,5,8040,72,88,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",9,4,"Legato","teaching-articulation"
10,10,9269,78,70,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",-5,9,"Legato","teaching-articulation"
11,11,9511,79,75,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",5,10,"Legato","teaching-articulation"
12,12,9754,76,78,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",3,11,"Legato","teaching-articulation"
13,13,10007,72,76,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",-2,12,"Legato","teaching-articulation"
14,14,10248,76,84,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",8,13,"Legato","teaching-articulation"
15,15,10500,79,88,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",4,14,"Legato","teaching-articulation"
16,16,10750,84,90,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",2,15,"Legato","teaching-articulation"
17,17,10993,83,87,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",-3,16,"Legato","teaching-articulation"
22,22,12219,81,87,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",6,21,"Legato","teaching-articulation"
23,23,12478,84,76,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",-11,22,"Legato","teaching-articulation"
24,24,12716,81,82,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",6,23,"Legato","teaching-articulation"
25,25,12969,78,77,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",-5,24,"Legato","teaching-articulation"
41,41,19354,77,76,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",-5,40,"Legato","teaching-articulation"
42,42,19587,76,76,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",0,41,"Legato","teaching-articulation"
43,43,19850,74,86,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",10,42,"Legato","teaching-articulation"
44,44,20089,76,83,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",-3,43,"Legato","teaching-articulation"
45,45,20348,79,79,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",-4,44,"Legato","teaching-articulation"
46,46,20586,74,80,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",1,45,"Legato","teaching-articulation"
47,47,20838,71,86,1,2,250,1,1,2,"articulation","teaching","2_t_stim_a.png",6,46,"Legato","teaching-articulation"
2,2,7268,78,78,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",4,1,"Legato","teaching-articulation"
3,3,7524,79,87,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",9,2,"Legato","teaching-articulation"
4,4,7782,76,89,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",2,3,"Legato","teaching-articulation"
5,5,8024,72,91,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",2,4,"Legato","teaching-articulation"
10,10,9277,78,71,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",-8,9,"Legato","teaching-articulation"
11,11,9536,79,81,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",10,10,"Legato","teaching-articulation"
12,12,9787,76,80,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",-1,11,"Legato","teaching-articulation"
13,13,10032,72,87,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",7,12,"Legato","teaching-articulation"
14,14,10284,76,81,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",-6,13,"Legato","teaching-articulation"
15,15,10539,79,87,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",6,14,"Legato","teaching-articulation"
16,16,10782,84,87,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",0,15,"Legato","teaching-articulation"
17,17,11019,83,87,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",0,16,"Legato","teaching-articulation"
22,22,12250,81,84,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",2,21,"Legato","teaching-articulation"
23,23,12494,84,88,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",4,22,"Legato","teaching-articulation"
24,24,12732,81,90,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",2,23,"Legato","teaching-articulation"
25,25,12994,78,85,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",-5,24,"Legato","teaching-articulation"
41,41,19438,77,73,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",-8,40,"Legato","teaching-articulation"
42,42,19671,76,78,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",5,41,"Legato","teaching-articulation"
43,43,19936,74,82,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",4,42,"Legato","teaching-articulation"
44,44,20165,76,81,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",-1,43,"Legato","teaching-articulation"
45,45,20417,79,83,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",2,44,"Legato","teaching-articulation"
46,46,20669,74,84,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",1,45,"Legato","teaching-articulation"
47,47,20919,71,90,1,2,250,1,1,3,"articulation","teaching","3_t_stim_a.png",6,46,"Legato","teaching-articulation"
2,2,7238,78,84,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",12,1,"Legato","teaching-articulation"
3,3,7489,79,91,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",7,2,"Legato","teaching-articulation"
4,4,7742,76,86,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",-5,3,"Legato","teaching-articulation"
5,5,7984,72,93,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",7,4,"Legato","teaching-articulation"
10,10,9213,78,81,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",7,9,"Legato","teaching-articulation"
11,11,9450,79,81,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",0,10,"Legato","teaching-articulation"
12,12,9692,76,82,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",1,11,"Legato","teaching-articulation"
13,13,9944,72,89,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",7,12,"Legato","teaching-articulation"
14,14,10178,76,84,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",-5,13,"Legato","teaching-articulation"
15,15,10428,79,88,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",4,14,"Legato","teaching-articulation"
16,16,10673,84,94,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",6,15,"Legato","teaching-articulation"
17,17,10914,83,85,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",-9,16,"Legato","teaching-articulation"
22,22,12139,81,85,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",8,21,"Legato","teaching-articulation"
23,23,12396,84,79,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",-6,22,"Legato","teaching-articulation"
24,24,12631,81,82,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",3,23,"Legato","teaching-articulation"
25,25,12886,78,80,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",-2,24,"Legato","teaching-articulation"
41,41,19344,77,67,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",-11,40,"Legato","teaching-articulation"
42,42,19575,76,78,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",11,41,"Legato","teaching-articulation"
43,43,19823,74,80,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",2,42,"Legato","teaching-articulation"
44,44,20056,76,81,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",1,43,"Legato","teaching-articulation"
45,45,20306,79,84,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",3,44,"Legato","teaching-articulation"
46,46,20541,74,80,1,2,250,1,1,4,"articulation","teaching","4_t_stim_a.png",-4,45,"Legato","teaching-articulation"
