"SubNr","N","ErrorRate","LessThan10","SD","Percentile","Final"
1,8,0.25,"exclude","include","exclude","include"
2,7,0.21875,"exclude","include","exclude","include"
3,20,0.625,"exclude","exclude","exclude","include"
4,1,0.03125,"include","include","include","include"
5,10,0.3125,"exclude","include","exclude","include"
6,2,0.0625,"include","include","include","include"
7,10,0.3125,"exclude","include","exclude","include"
9,2,0.0625,"include","include","include","include"
10,0,0,"include","include","include","include"
11,13,0.40625,"exclude","include","exclude","include"
12,0,0,"include","include","include","include"
13,3,0.09375,"include","include","include","include"
14,8,0.25,"exclude","include","exclude","include"
15,5,0.15625,"exclude","include","include","include"
16,1,0.03125,"include","include","include","exclude"
17,0,0,"include","include","include","include"
18,3,0.09375,"include","include","include","include"
19,3,0.09375,"include","include","include","include"
20,3,0.09375,"include","include","include","include"
21,3,0.09375,"include","include","include","include"
22,4,0.125,"exclude","include","include","include"
23,2,0.0625,"include","include","include","include"
24,7,0.21875,"exclude","include","exclude","include"
25,0,0,"include","include","include","include"
26,0,0,"include","include","include","include"
27,18,0.5625,"exclude","exclude","exclude","include"
28,5,0.15625,"exclude","include","include","include"
29,3,0.09375,"include","include","include","include"
30,0,0,"include","include","include","include"
31,4,0.125,"exclude","include","include","include"
32,1,0.03125,"include","include","include","include"
33,3,0.09375,"include","include","include","include"
34,3,0.09375,"include","include","include","include"
35,4,0.125,"exclude","include","include","include"
36,2,0.0625,"include","include","include","include"
