Timestamp,Participant number,What is your age?,Please select,What is your first language?,What is your second language?,What is your dominant hand?,Do you have normal/corrected-normal vision?,Do you have normal hearing?,"Did you try to perform differently when you are asked to play as a teacher during the experiment? If so, please describe how you changed your performance?","Have you noticed anything special regarding the tasks in the experiment? If any, please describe below.",What instruments do you play?,"For each instrument, please specify the total number of years of formal training (i.e., lessons).","For each instrument, please specify the total number of years that you have played the instrument.",At what age did you start playing each instrument?,At what age did you stop playing each instrument (if applicable)?,How many hours do you practise each instrument per week?,Do you have any experience of teaching a musical instrument?,What instruments do you teach?,"For each instrument, please specify the total number of years of teaching.","For each instrument, please specify whether you are formally trained to teach (e.g., having a degree in music).",Where did you receive the training (if applicable)?,What age group do you teach (if applicable)?,At what age did you start teaching each instrument?,At what age did you stop teaching each instrument (if applicable)?,Do you like teaching a musical instrument?,Do you have any teaching experience other than a musical instrument?,What do you teach?,"For each, please specify the total number of years of teaching.",Do you like teaching in general?
1/14/2019 13:56:51,1,25,Male,Hungarian,English,Right,Yes,Yes,"Yes, I played slower and I tried to emphasize and articulate the movements more.",Was the tempo of the metronome different in the two parts?,"Piano, guitar","Piano 10, Guitar not formal","Piano 14, Guitar6","Piano11, guitar19",,"Piano 2 hours a week, guitar one hour",No,None,.,.,,,,,,No,,,
1/15/2019 10:43:55,2,31,Male,English ,Spanish,Right,Yes,Yes,"Yes, tried to emphasize the fortes/pianos/staccatos in some performances then alternated to play them as they should be ",,Piano,10,20,11,,7-14,Yes,Piano,4,No,"Private lessons (in Pennsylvania, USA)",8-14,16,22,6,No,,,6
1/18/2019 13:54:20,3,27,Female,Hungarian,English,Right,Yes,Yes,"Yes; for example,when I was “teacher”how I show this to a student.",,"Bassoon,recorder",22,27,7,,5,Yes,"Bassoon,recorder",2,1,Hungary and Germany,7-18,25,,5,No,,,
1/18/2019 14:43:32,4,28,Female,Hungarian,English,Right,Yes,Yes,"Not much, maybe I tried to play a bit more accurately and simple for the students to understand.",I was getting tired sooner as a teacher,"Piano, organ, guitar, base guitar, drums","Piano 18, organ 2, guitar 0, base guitar 0, drums 0","Piano 21, organ 3, guitar 5, base guitar 4, drums 1","Piano 7, organ 23, guitar 14, base guitar 16, drums 13","Organ 26, guitar 19, base guitar 20, drums 14",Piano 14,Yes,"Piano, guitar","Piano 12, guitar 4",Piano 5,"Klausenburg, Budapest",5-40,"Piano 20, guitar 16",Guitar 20,5,No,,,5
1/18/2019 17:50:04,5,31,Male,Russian,English,Right,Yes,Yes,Teaching is more stressful,,"Piano, guitar","10+, but on and off","10+, but on and off",12/16,,Recently zero:(,Yes,Guitar,2,No,,,30,,3,Yes,Languages ,15,4
1/22/2019 12:42:26,6,26,Male,Hungarian,English,Right,Yes,Yes,"Yes, I tried to emphasize my movements, making them more ""extreme"".",No.,Piano,15,16,10,-,21,Yes,Piano,3,I have piano teacher degree,Liszt Academy of Music - Budapest,Under 17,24,-,4,No,,,4
1/22/2019 18:01:14,7,23,Female,Hungarian,English,Right,Yes,Yes,Maybe it gave me more motivation,"Maybe it was a little strange for someone who is used to a real piano because on this, forte and piano is more difficult to really differentiate ","Piano, organ, guitar, ","Piano: 9 years, organ: 5 years ","Piano:9, organ:4, guitar: 3","13, 18, 14",Guitar.. approx. at 17,Piano: 3,No,,,,,,,,,Yes,Voice (singing),3,6
1/23/2019 14:02:24,8,22,Female,Hungarian,English,Right,Yes,Yes,"Yes, I tried to play more excessively, because the aim was to make others understand what forte or piano or staccato mean.",It was difficult after a time to play interestingly this easy peace.,Piano ,10 years,13,7,20,0 (nowadays),No,,,,,,,,,Yes,Math and literature,1,5
1/25/2019 10:39:12,9,29,Male,Hungarian,English,Right,Yes,Yes,I tried to play as clear as possible to understand the changes,"I think I played better when I performed to the audience, and sometimes that was more understandable ",Piano,20,25,4,,1-2,Yes,Piano,3,2,Liszt Ferenc Academy of Music,10-20 ,26,,4,Yes,Composition,2,4
1/30/2019 10:45:36,10,22,Female,Romanian,English,Right,Yes,Yes,No,No,Piano,12,14,7,,7,No,,,,,,,,,No,,,
