Timestamp,Participant number,What is your age?,Please select,What is your first language?,What is your second language?,What is your dominant hand?,Do you have normal/corrected-normal vision?,Do you have normal hearing?,"Did you know the original piece ""Clementi's Sonatina No. 3, Op 36""?","Have you played the original piece ""Clementi's Sonatina No. 3, Op 36"" before?","Did you try to perform differently when you are asked to play as a teacher during the experiment? If so, please describe how you changed your performance?","Have you noticed anything special regarding the tasks in the experiment? If any, please describe below.",At which school are you currently studying piano performance/teaching or did you study piano performance/teaching?,"What is your degree level? (If you are studying now, please select the current degree program.)",What is your major at music school? (You can select multiple options.),"Please specify the total number of years of formal training (i.e., lessons).",Please specify the total number of years that you have played the piano.,At what age did you start playing the piano?,At what age did you stop playing the piano (if applicable)?,How many hours do you practise the piano per week?,What instruments do you play?,"For each instrument, please specify the total number of years of formal training (i.e., lessons).","For each instrument, please specify the total number of years that you have played the instrument.",At what age did you start playing each instrument?,At what age did you stop playing each instrument (if applicable)?,How many hours do you practise each instrument per week?,Do you have any experience of teaching a musical instrument?,What instruments do you teach?,"For each instrument, please specify the total number of years of teaching.","For each instrument, please specify whether you are formally trained to teach (e.g., having a degree in music).",Where did you receive the training (if applicable)?,What age group do you teach (if applicable)?,At what age did you start teaching each instrument?,At what age did you stop teaching each instrument (if applicable)?,Do you like teaching a musical instrument?,Do you have any teaching experience other than a musical instrument?,What do you teach?,"For each, please specify the total number of years of teaching.",Do you like teaching in general?
2019/07/01 11:15:27 am CET,1,20,Male,Hungarian,English,Right,Yes,Yes,Yes,No,"Igen. Probaltam minden utasitast egy picit erosebben es hatarozottabban jatszani, mert ha a Tanar picit eltulozza a diak pont Jol fogja jatszani ",-,At the moment I’m studying jazz piano at egressy in csepel and I’m still studying at my music school in weiner Leo Zenemuveszeti ,OKJ,Performance,13,13,8,,Jul-14,A little bit of guitar but mainly piano,Guitar - half year not intensive training Piano - 13 years,Guitar - half year not intensive training Piano - 13 years,When I was 8 I started playing the piano when I was 15 I started playing the guitar,I still play the guitar sometimes,7-14 only piano and I play like 1 hour of guitar for fun,No,,,,,,,,,No,,,
2019/07/02 11:03:37 am CET,2,22,Female,Hungarian,German,Left,Yes,Yes,No,No,"I just imagine, that I’m in a class with one of ma students. I try to make huge differences between piano and forte, staccato and legato.","No, I haven’t.",I study now at Franz Liszt Music Academy in Budapest piano teaching.,Bachelor and Master,Performance;Music education,15,15,7,,23 hours or more,Organ,1,2,17,,8,Yes,Piano,4,We have lessons for it.,At Franz Liszt Music Academy in Budapest,"4, 5, 6, 10, 13, 35, 40",18,,6,Yes,Music theory,2,6
2019/07/02 5:04:31 pm CET,3,26,Male,Hungarian,English,Right,Yes,Yes,Yes,Yes,"No, i tied my best.",No,Járdanyi pál Budapest And before at Liszt ferenc szekszard,Simple basic level,Performance,6,15,11,I DID not stop,3,Guitar,0,8,16,Dont,2,No,,,,,,,,,No,,,
2019/07/03 4:03:09 pm CET,4,24,Male,Hungarian,English,Right,Yes,Yes,No,No,No,No,Liszt Ferenc Musicacademy,Bachelor,Performance,16,16,8,,3-4 hours,,,,,,,Yes,Piano,2,No,,May-35,21,,6,No,,,
2019/07/04 4:59:32 pm CET,5,25,Male,Hungarian,French,Right,Yes,Yes,Yes,Yes,"Slightly, I emphasized a little more the steccato-legatos in case of teaching and I played a little differently the piano-forte expressions than it’s described during performing, per my style",I knew this piece lol,Weiner Leó music school,8 years piano playing,Performance;Music education;Composition;Music theory,8,9,6,15,2,,,,,,,No,,,,,,,,,No,,,
2019/07/10 10:11:23 am CET,6,19,Female,Hungarian,English,Left,Yes,Yes,No,No,Megpróbáltam eltúlozni a feladatot hogy azt a “diák” jobban értse,Rájöttem hogy milyen nehéz valamit hibátlanul eljátszani ,Liszt Ferenc Zeneművészeti Egyetem. Performance,Bachelor,Performance,10,10,9,,42,Csembaló orgona,Csembaló 2 év,Csembaló 2 orgona 1,Csembaló 17 évesen orgona 18,Csembalóversenye orgona 19 évesen,3 óra,No,,,,,,,,,No,,,
2019/07/10 11:51:32 am CET,7,28,Male,Ukràn,English,Right,Yes,Yes,No,No,"Túlzottabb dinamika, billentès, agogika.",,LFZE,PhD,Performance;Music education,24,24,4,,18,Accordion,24,24,4,,24,Yes,Accordion,5,Yes,LFZE,Aug-20,22,,5,No,,,
2019/07/10 12:46:33 pm CET,8,19,Female,Hungarian,English,Right,Yes,Yes,No,No,"Igen, kicsit próbáltam eltúlozni","Azt vettem észre, hogy a forte pianos és az artikulációs lejegyzés végül szinte ugyanazt az eredményt produkálja",Liszt Ferenc Zeneművészeti egyetem,Bachelor,Performance;Composition,7,8,11,,15,piano,7,7,11,,"Piano, 15",No,,,,,,,,,No,,,
2019/07/10 3:51:44 pm CET,9,25,Male,Hungarian,English,Right,Yes,Yes,No,No,"A dinamikát próbáltam eltúlozva előadni hogy érthetőbb legyen egy diák számára is, az artikulacios gyakorlatokkal pedig a legatot(koteseket)",,LFZE,Master,Performance,19,19,5,N/A,25-30,"Piano, organ, drums","19, 5 and 2 years respectively","19, 5 and 2 years respectively","5, 13, 15","N/A, 18, 17",Onlypiano at the moment,Yes,Piano,2,MA,LFZE,High School,22,,6,No,,,6
2019/07/16 1:52:12 pm CET,10,21,Male,Hungarian,English,Right,Yes,Yes,No,No,Booth times I tried to overdo the notated expressions.,,Franz Liszt Academy of Music,Bachelor,Performance,4,6,16,,"Not so much, it was a secondary instrument to me. ","Classical guitar,piano",Guitar: 11 years,Guitar: 11 years,Guitar: 10,,30-40,No,,,,,,,,,No,,,
2019/07/19 9:42:47 am CET,11,30,Male,Hungarian,English,Right,Yes,Yes,No,No,"Tanárként a maximális precizitásra (pontos hangok, artikuacios jelzések stb.) törekedtem az lejátszás során, annak érdekében, hogy a növendék a legpontosabb képet, hang ide állt kapjon a darabról. ",,Debreceni Egyetem,Master,Performance;Music education,8,12,8,,2,Saxophone,Saxophone 17 years,Saxophone 17,Saxophone 13,,7-10 hours,Yes,Saxophone,Sax 3,Sax: I have a Master of Education in Saxophone,"MDW Vienna
Debreceni Egyetem",Jul-21,28,,6,No,,,6
2019/07/23 1:42:46 pm CET,12,27,Female,Hungarian,English,Right,Yes,Yes,No,No,I played more espressiv,No,Franz Liszt Academy of Music,Flute Master dagree,Performance,7,10,12,I didn’t stopped,1,Flute,17,20,9,I didn’t stopped,21/25,Yes,Flute,5,Teacher Dagree,Franz Liszt Academy of Music,May-21,21,I didn’t stopped,6,No,Flute,5,6
