RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
1,17,8973,60,58,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
2,18,9218,62,66,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
3,20,9451,64,67,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
4,22,9695,65,71,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
5,24,9917,67,72,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
6,26,10137,65,71,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
7,28,10364,64,68,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
8,31,10598,62,64,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
9,33,10801,60,64,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
10,35,11041,62,66,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
11,37,11260,64,63,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
12,39,11481,65,65,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
13,41,11709,67,60,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
14,43,11943,65,57,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
15,45,12184,64,57,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
16,47,12439,62,38,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
17,49,12665,60,57,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
18,51,12903,62,60,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
19,52,13127,64,63,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
20,54,13340,65,67,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
21,56,13569,67,73,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
22,58,13787,65,68,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
23,60,14019,64,68,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
24,62,14254,62,64,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
25,64,14488,60,59,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
26,67,14735,62,59,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
27,69,14965,64,59,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
28,71,15206,65,58,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
29,73,15436,67,50,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
30,75,15673,65,57,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
31,77,15915,64,57,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
32,77,,62,,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
33,79,16455,60,51,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
34,81,20009,67,51,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
35,83,20272,65,58,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
36,85,20516,64,62,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
37,87,20749,62,63,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
38,89,20976,60,56,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
39,91,21192,62,60,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
40,93,21432,64,59,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
41,95,21669,65,61,1,2,1,3,1,articulation,performing,1_p_stim_a.png,1
