SubNr,BlockNr,TrialNr,Reason,OnOff
3,1,1,Missing Trial,Onset
3,1,2,Missing Trial,Onset
3,1,3,Missing Trial,Onset
3,1,4,Missing Trial,Onset
3,1,5,Missing Trial,Onset
3,1,6,Missing Trial,Onset
3,1,7,Missing Trial,Onset
3,1,8,Missing Trial,Onset
3,2,7,Missing Trial,Onset
3,2,8,Missing Trial,Onset
13,2,6,Missing Trial,Onset
14,1,1,Missing Trial,Onset
14,1,2,Missing Trial,Onset
14,1,3,Missing Trial,Onset
14,1,4,Missing Trial,Onset
14,1,5,Missing Trial,Onset
14,1,6,Missing Trial,Onset
14,1,7,Missing Trial,Onset
14,1,8,Missing Trial,Onset
31,2,4,Missing Trial,Onset
31,4,5,Missing Trial,Onset
3,1,1,Missing Trial,Offset
3,1,2,Missing Trial,Offset
3,1,3,Missing Trial,Offset
3,1,4,Missing Trial,Offset
3,1,5,Missing Trial,Offset
3,1,6,Missing Trial,Offset
3,1,7,Missing Trial,Offset
3,1,8,Missing Trial,Offset
3,2,7,Missing Trial,Offset
3,2,8,Missing Trial,Offset
13,2,6,Missing Trial,Offset
14,1,1,Missing Trial,Offset
14,1,2,Missing Trial,Offset
14,1,3,Missing Trial,Offset
14,1,4,Missing Trial,Offset
14,1,5,Missing Trial,Offset
14,1,6,Missing Trial,Offset
14,1,7,Missing Trial,Offset
14,1,8,Missing Trial,Offset
31,2,4,Missing Trial,Offset
31,4,5,Missing Trial,Offset
